iter	Passed	Remaining
783	2769	763
784	2773	759
785	2776	755
786	2780	752
787	2783	748
788	2786	745
789	2790	741
790	2794	738
791	2797	734
792	2800	731
793	2804	727
794	2808	724
795	2811	720
796	2815	717
797	2818	713
798	2821	709
799	2825	706
800	2828	702
801	2832	699
802	2835	695
803	2839	692
804	2842	688
805	2846	685
806	2849	681
807	2853	677
808	2856	674
809	2859	670
810	2863	667
811	2867	663
812	2870	660
813	2874	656
814	2878	653
815	2881	649
816	2884	646
817	2888	642
818	2891	639
819	2895	635
820	2898	632
821	2902	628
822	2905	624
823	2908	621
824	2912	617
825	2915	614
826	2919	610
827	2922	607
828	2926	603
829	2929	600
830	2932	596
831	2936	592
832	2939	589
833	2942	585
834	2946	582
835	2949	578
836	2953	575
837	2956	571
838	2959	568
839	2963	564
840	2967	560
841	2970	557
842	2973	553
843	2977	550
844	2980	546
845	2984	543
846	2987	539
847	2990	536
848	2994	532
849	2997	529
850	3001	525
851	3004	521
852	3008	518
853	3012	514
854	3015	511
855	3019	508
856	3023	504
857	3027	501
858	3031	497
859	3034	494
860	3038	490
861	3042	487
862	3046	483
863	3050	480
864	3053	476
865	3057	473
866	3061	469
867	3065	466
868	3068	462
869	3072	459
870	3076	455
871	3080	452
872	3084	448
873	3087	445
874	3091	441
875	3095	438
876	3099	434
877	3103	431
878	3107	427
879	3111	424
880	3115	420
881	3119	417
882	3123	413
883	3127	410
884	3131	406
885	3134	403
886	3138	399
887	3142	396
888	3146	392
889	3149	389
890	3153	385
891	3157	382
892	3161	378
893	3165	375
894	3169	371
895	3172	368
896	3176	364
897	3179	361
898	3183	357
899	3186	354
900	3189	350
901	3193	346
902	3196	343
903	3199	339
904	3203	336
905	3207	332
906	3210	329
907	3213	325
908	3217	322
909	3220	318
910	3223	314
911	3227	311
912	3230	307
913	3234	304
914	3237	300
915	3241	297
916	3244	293
917	3248	290
918	3251	286
919	3254	283
920	3258	279
921	3261	275
922	3265	272
923	3268	268
924	3272	265
925	3275	261
926	3279	258
927	3282	254
928	3286	251
929	3289	247
930	3293	244
931	3297	240
932	3300	237
933	3303	233
934	3307	229
935	3310	226
936	3314	222
937	3317	219
938	3321	215
939	3324	212
940	3328	208
941	3331	205
942	3334	201
943	3338	198
944	3341	194
945	3344	190
946	3348	187
947	3352	183
948	3355	180
949	3358	176
950	3362	173
951	3366	169
952	3369	166
953	3372	162
954	3376	159
955	3379	155
956	3383	152
957	3386	148
958	3389	144
959	3393	141
960	3396	137
961	3400	134
962	3404	130
963	3407	127
964	3410	123
965	3414	120
966	3418	116
967	3421	113
968	3425	109
969	3428	106
970	3432	102
971	3435	98
972	3438	95
973	3442	91
974	3445	88
975	3449	84
976	3452	81
977	3455	77
978	3459	74
979	3462	70
980	3466	67
981	3469	63
982	3472	60
983	3476	56
984	3479	52
985	3482	49
986	3486	45
987	3489	42
988	3493	38
989	3496	35
990	3499	31
991	3503	28
992	3526	24
993	3530	21
994	3533	17
995	3542	14
996	3546	10
997	3550	7
998	3554	3
999	3558	0
